Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0294,488,221,709,2097,33.81%,14,682,696
"District Judge, 180th Judicial District",0295,148,103,251,885,28.36%,7,239,246
"District Judge, 180th Judicial District",0296,327,340,667,1713,38.94%,403,222,625
"District Judge, 180th Judicial District",0297,280,249,529,2012,26.29%,242,255,497
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Catherine Evans,DEM Randy Roll,Totals
"District Judge, 180th Judicial District",0298,415,358,773,2121,36.45%,467,260,727
"District Judge, 180th Judicial District",0299,178,117,295,1353,21.80%,124,153,277
"District Judge, 180th Judicial District",0300,1389,1016,2405,5406,44.49%,1933,382,2315
"District Judge, 180th Judicial District",0301,210,255,465,2352,19.77%,189,251,440
"District Judge, 180th Judicial District",0302,353,343,696,2720,25.59%,413,258,671
"District Judge, 180th Judicial District",0303,922,784,1706,3245,52.57%,1383,241,1624
"District Judge, 180th Judicial District",0304,606,505,1111,2298,48.35%,647,384,1031
"District Judge, 180th Judicial District",0305,524,432,956,4191,22.81%,409,522,931
"District Judge, 180th Judicial District",0306,649,342,991,1879,52.74%,732,207,939
"District Judge, 180th Judicial District",0307,733,670,1403,3099,45.27%,983,340,1323
"District Judge, 180th Judicial District",0308,199,130,329,1296,25.39%,122,191,313
"District Judge, 180th Judicial District",0309,708,593,1301,2524,51.55%,1059,171,1230
"District Judge, 180th Judicial District",0310,386,279,665,1435,46.34%,469,155,624
"District Judge, 180th Judicial District",0311,486,421,907,2986,30.38%,497,344,841
"District Judge, 180th Judicial District",0312,742,457,1199,3636,32.98%,798,350,1148
"District Judge, 180th Judicial District",0313,9,0,9,62,14.52%,7,2,9
"District Judge, 180th Judicial District",0314,1121,913,2034,5647,36.02%,1308,668,1976
"District Judge, 180th Judicial District",0315,478,388,866,1608,53.86%,520,291,811
"District Judge, 180th Judicial District",0316,412,341,753,1537,48.99%,431,264,695
