Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Devlin,DEM Tracy D. Good,Totals
"Family District Judge, 313th Judicial District",0314,1121,913,2034,5647,36.02%,1279,684,1963
"Family District Judge, 313th Judicial District",0315,478,388,866,1608,53.86%,488,314,802
"Family District Judge, 313th Judicial District",0316,412,341,753,1537,48.99%,415,275,690
"Family District Judge, 313th Judicial District",0317,248,209,457,1588,28.78%,142,292,434
"Family District Judge, 313th Judicial District",0318,834,568,1402,3660,38.31%,63,1292,1355
"Family District Judge, 313th Judicial District",0319,512,230,742,2158,34.38%,49,666,715
"Family District Judge, 313th Judicial District",0320,234,168,402,1537,26.15%,202,183,385
"Family District Judge, 313th Judicial District",0321,262,191,453,2346,19.31%,171,256,427
"Family District Judge, 313th Judicial District",0322,181,129,310,1226,25.29%,103,196,299
"Family District Judge, 313th Judicial District",0323,278,211,489,1722,28.40%,234,225,459
"Family District Judge, 313th Judicial District",0324,532,646,1178,2336,50.43%,723,358,1081
"Family District Judge, 313th Judicial District",0325,289,193,482,2112,22.82%,103,357,460
"Family District Judge, 313th Judicial District",0326,87,74,161,698,23.07%,78,74,152
"Family District Judge, 313th Judicial District",0327,380,129,509,1729,29.44%,9,487,496
"Family District Judge, 313th Judicial District",0328,151,140,291,1434,20.29%,121,159,280
"Family District Judge, 313th Judicial District",0329,189,184,373,1397,26.70%,144,205,349
"Family District Judge, 313th Judicial District",0330,334,253,587,1936,30.32%,323,228,551
"Family District Judge, 313th Judicial District",0331,0,0,0,0,0.00%,0,0,0
"Family District Judge, 313th Judicial District",0332,18,7,25,138,18.12%,12,9,21
"Family District Judge, 313th Judicial District",0333,524,714,1238,3021,40.98%,855,319,1174
