Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0283,0,0,0,0,0.00%,0,0,0,0,0
Lieutenant Governor,0284,574,335,910,3172,28.69%,393,464,18,11,886
Lieutenant Governor,0285,448,378,826,2540,32.52%,81,721,7,3,812
Lieutenant Governor,0286,1255,821,2076,6170,33.65%,193,1818,20,11,2042
Lieutenant Governor,0287,371,477,848,1621,52.31%,375,430,25,2,832
Lieutenant Governor,0288,532,313,845,2210,38.24%,19,810,6,5,840
Lieutenant Governor,0289,186,212,398,1564,25.45%,195,183,12,3,393
Lieutenant Governor,0290,245,298,543,1642,33.07%,396,130,10,2,538
Lieutenant Governor,0291,325,235,560,1225,45.71%,271,271,11,2,555
Lieutenant Governor,0292,207,147,354,1356,26.11%,44,298,5,2,349
Lieutenant Governor,0293,357,447,804,1759,45.71%,344,417,25,5,791
Lieutenant Governor,0294,488,221,709,2097,33.81%,14,678,3,5,700
Lieutenant Governor,0295,148,103,251,885,28.36%,9,235,0,4,248
Lieutenant Governor,0296,327,340,667,1713,38.94%,374,250,17,6,647
Lieutenant Governor,0297,280,249,529,2012,26.29%,220,282,10,4,516
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dan Patrick,DEM Leticia Van de Putte,LIB Robert D. Butler,GRN Chandrakantha Courtney,Totals
Lieutenant Governor,0298,415,358,773,2121,38.45%,431,298,21,7,755
Lieutenant Governor,0299,179,117,298,1353,21.88%,117,180,10,1,288
Lieutenant Governor,0300,1389,1018,2405,5408,44.49%,1888,471,40,11,2388
Lieutenant Governor,0301,210,255,485,2352,19.77%,191,250,9,2,452
Lieutenant Governor,0302,353,343,898,2720,25.59%,415,283,5,1,884
Lieutenant Governor,0303,924,784,1708,3245,52.83%,1231,394,37,8,1888
Lieutenant Governor,0304,808,505,1111,2298,48.35%,538,524,21,8,1091
Lieutenant Governor,0305,524,432,958,4191,22.81%,394,519,18,13,944
Lieutenant Governor,0308,550,342,992,1879,52.79%,882,292,28,0,980
Lieutenant Governor,0307,733,870,1403,3099,45.27%,882,434,49,14,1379
Lieutenant Governor,0308,199,130,329,1298,25.39%,101,212,11,1,325
Lieutenant Governor,0309,708,593,1301,2524,51.55%,951,293,33,2,1279
Lieutenant Governor,0310,388,279,885,1435,48.34%,423,218,11,4,854
Lieutenant Governor,0311,488,421,907,2988,30.38%,457,391,18,8,874
Lieutenant Governor,0312,742,457,1199,3838,32.98%,715,435,27,8,1183
Lieutenant Governor,0313,9,0,9,82,14.52%,7,2,0,0,9
Lieutenant Governor,0314,1121,913,2034,5847,38.02%,1258,702,47,7,2014
Lieutenant Governor,0315,478,388,888,1808,53.88%,443,382,22,4,851
Lieutenant Governor,0318,412,341,753,1537,48.99%,345,371,19,8,743
Lieutenant Governor,0317,250,209,459,1588,28.90%,134,305,12,3,454
Lieutenant Governor,0318,834,588,1402,3880,38.31%,72,1294,8,11,1383
Lieutenant Governor,0319,512,230,742,2158,34.38%,48,874,4,5,729
Lieutenant Governor,0320,234,188,402,1537,28.15%,197,188,8,1,390
Lieutenant Governor,0321,282,191,453,2348,19.31%,180,254,3,8,445
Lieutenant Governor,0322,182,129,311,1228,25.37%,93,197,9,8,305
Lieutenant Governor,0323,278,211,489,1722,28.40%,218,242,13,4,477
Lieutenant Governor,0324,532,545,1178,2338,50.43%,878,450,29,7,1184
Lieutenant Governor,0325,289,193,482,2112,22.82%,108,352,4,7,471
Lieutenant Governor,0328,87,74,181,898,23.07%,79,73,3,0,155
Lieutenant Governor,0327,380,129,509,1729,29.44%,12,478,9,5,502
Lieutenant Governor,0328,151,140,291,1434,20.29%,118,151,7,2,278
Lieutenant Governor,0329,191,184,375,1397,28.84%,137,215,12,3,387
