Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0265,988,759,1747,3584,48.74%,1266,435,21,5,0,1727
Governor,0266,259,257,516,2104,24.52%,265,233,3,1,1,503
Governor,0267,146,166,312,1327,23.51%,167,127,8,3,1,306
Governor,0268,435,717,1152,2493,46.21%,641,497,7,2,0,1147
Governor,0269,702,453,1155,2030,56.90%,885,261,6,0,0,1152
Governor,0270,819,672,1491,3605,41.36%,790,648,23,14,0,1475
Governor,0271,656,382,1038,2518,41.22%,24,1004,1,3,0,1032
Governor,0272,264,292,556,2162,25.72%,214,316,15,5,0,550
Governor,0273,548,689,1237,2470,50.08%,982,231,17,1,0,1231
Governor,0274,588,346,934,2153,43.38%,630,286,10,3,0,929
Governor,0275,207,236,443,1850,23.95%,103,330,3,2,0,438
Governor,0276,572,231,803,2536,31.66%,11,778,1,3,0,793
Governor,0277,170,186,356,1492,23.86%,174,167,6,1,0,348
Governor,0278,421,320,741,2454,30.20%,414,307,9,4,0,734
Governor,0279,251,223,474,1941,24.42%,286,176,3,2,0,467
Governor,0280,130,188,318,1524,20.87%,129,168,7,1,0,305
Governor,0281,655,742,1397,2633,53.06%,601,764,12,3,0,1380
Governor,0282,314,455,769,2042,37.66%,476,270,16,3,0,765
Governor,0283,0,0,0,0,0.00%,0,0,0,0,0,0
Governor,0284,574,335,910,3172,28.69%,405,473,9,5,0,892
Governor,0285,448,378,826,2540,32.52%,74,735,7,1,0,817
Governor,0286,1255,821,2076,6170,33.65%,204,1831,7,9,0,2051
Governor,0287,371,477,848,1621,52.31%,385,443,10,1,1,840
Governor,0288,532,313,845,2210,38.24%,20,814,4,3,0,841
Governor,0289,186,212,398,1564,25.45%,202,179,8,1,0,390
Governor,0290,245,298,543,1642,33.07%,399,133,7,2,0,541
Governor,0291,325,235,560,1225,45.71%,280,268,4,4,0,556
Governor,0292,207,147,354,1356,26.11%,44,302,2,2,0,350
Governor,0293,357,447,804,1759,45.71%,350,435,6,5,0,796
Governor,0294,488,221,709,2097,33.81%,11,687,3,1,0,702
Governor,0295,148,103,251,885,28.36%,5,244,0,1,0,250
Governor,0296,327,340,667,1713,38.94%,382,254,11,4,0,651
Governor,0297,280,249,529,2012,26.29%,222,289,5,2,0,518
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Greg Abbott,DEM Wendy R. Davis,LIB Kathie Glass,GRN Brandon Parmer,Sarah M. Pavitt,Totals
Governor,0298,415,358,773,2121,36.45%,444,300,10,3,0,757
Governor,0299,179,117,296,1353,21.88%,117,168,4,1,0,290
Governor,0300,1389,1015,2405,5406,44.49%,1865,501,27,0,0,2393
Governor,0301,210,255,465,2352,19.77%,191,250,2,4,0,447
Governor,0302,353,343,696,2720,25,59%,403,274,3,2,0,682
Governor,0303,924,784,1708,3245,52.63%,1336,349,9,4,0,1698
Governor,0304,606,505,1111,2298,48.35%,571,518,11,2,0,1102
Governor,0305,524,432,956,4191,22.81%,400,528,13,6,0,947
Governor,0306,550,342,992,1879,52.79%,702,276,10,0,0,988
Governor,0307,733,670,1403,3099,45.27%,920,435,28,7,0,1390
