Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0348,438,208,646,1708,37.82%,499,127,13,3,642
Attorney General,0349,188,267,455,1349,33.73%,282,150,12,7,451
Attorney General,0350,525,526,1051,2909,36.13%,395,594,30,11,1030
Attorney General,0351,1491,710,2201,4712,46.71%,1716,418,30,10,2174
Attorney General,0352,520,339,859,3205,26.80%,622,203,19,4,848
Attorney General,0353,665,451,1116,3862,28.90%,207,875,11,6,1099
Attorney General,0354,715,338,1053,3388,31.08%,262,749,14,8,1033
Attorney General,0355,301,264,565,1560,36.22%,51,489,6,6,552
Attorney General,0356,594,538,1132,2972,38.09%,704,378,23,4,1109
Attorney General,0357,837,575,1412,3517,40.15%,1016,350,25,4,1395
Attorney General,0358,213,254,467,2492,18.74%,48,398,6,6,458
Attorney General,0359,235,224,459,3061,15.00%,58,386,6,2,452
Attorney General,0360,524,380,904,2146,42.12%,455,403,16,8,882
Attorney General,0361,41,295,336,1673,20.08%,44,256,19,8,327
Attorney General,0362,1138,887,2025,5086,39.82%,1470,473,37,12,1992
Attorney General,0363,620,412,1032,3677,28.07%,469,533,11,7,1020
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Ken Paxton,DEM Sam Houston,LIB Jamie Balagia,GRN Jamar Osborne,Totals
Attorney General,0364,489,405,894,2658,33.63%,508,341,25,5,879
Attorney General,0365,478,231,709,1305,54.33%,52,632,8,3,695
