Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0294,488,221,709,2097,33.81%,6,683,5,4,698
Comptroller of Public Accounts,0295,148,103,251,885,28.36%,5,239,1,3,248
Comptroller of Public Accounts,0296,327,340,667,1713,38.94%,372,252,16,6,646
Comptroller of Public Accounts,0297,280,249,529,2012,26.29%,231,266,12,4,513
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Glenn Hegar,DEM Mike Collier,LIB Ben Sanders,GRN Deb Shafto,Totals
Comptroller of Public Accounts,0298,415,358,773,2121,36.45%,441,285,18,4,748
Comptroller of Public Accounts,0299,179,117,296,1353,21.88%,109,164,9,0,282
Comptroller of Public Accounts,0300,1389,1016,2405,5406,44.49%,1880,423,47,13,2363
Comptroller of Public Accounts,0301,210,255,465,2352,19.77%,173,260,10,3,446
Comptroller of Public Accounts,0302,353,343,696,2720,25.59%,390,271,17,3,681
Comptroller of Public Accounts,0303,924,784,1708,3245,52.63%,1293,343,23,9,1668
Comptroller of Public Accounts,0304,606,505,1111,2298,48.35%,564,479,19,20,1082
Comptroller of Public Accounts,0305,524,432,956,4191,22.81%,396,511,19,16,942
Comptroller of Public Accounts,0306,550,342,992,1879,52.79%,685,267,17,2,971
Comptroller of Public Accounts,0307,733,670,1403,3099,45.27%,918,390,37,19,1364
Comptroller of Public Accounts,0308,199,130,329,1296,25.39%,106,202,8,4,320
