Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Patricia J. Kerrigan,DEM Farrah Martinez,Totals
"District Judge, 190th Judicial District",0302,353,343,696,2720,25.59%,417,253,670
"District Judge, 190th Judicial District",0303,922,784,1706,3245,52.57%,1403,229,1632
"District Judge, 190th Judicial District",0304,606,505,1111,2298,48.35%,659,372,1031
"District Judge, 190th Judicial District",0305,524,432,956,4191,22.81%,409,519,928
"District Judge, 190th Judicial District",0306,649,342,991,1879,52.74%,740,198,938
"District Judge, 190th Judicial District",0307,733,670,1403,3099,45.27%,987,335,1322
"District Judge, 190th Judicial District",0308,199,130,329,1296,25.39%,112,200,312
"District Judge, 190th Judicial District",0309,708,593,1301,2524,51.55%,1063,168,1231
"District Judge, 190th Judicial District",0310,386,279,665,1435,46.34%,473,155,628
"District Judge, 190th Judicial District",0311,486,421,907,2986,30.38%,504,342,846
"District Judge, 190th Judicial District",0312,742,457,1199,3636,32.98%,778,372,1150
"District Judge, 190th Judicial District",0313,9,0,9,62,14.52%,7,2,9
"District Judge, 190th Judicial District",0314,1121,913,2034,5647,36.02%,1292,683,1975
"District Judge, 190th Judicial District",0315,478,388,866,1608,53.86%,525,286,811
"District Judge, 190th Judicial District",0316,412,341,753,1537,48.99%,434,262,696
"District Judge, 190th Judicial District",0317,248,209,457,1588,28.78%,149,285,434
"District Judge, 190th Judicial District",0318,834,568,1402,3660,38.31%,78,1286,1364
"District Judge, 190th Judicial District",0319,512,230,742,2158,34.38%,48,673,721
"District Judge, 190th Judicial District",0320,234,168,402,1537,26.15%,204,182,386
"District Judge, 190th Judicial District",0321,262,191,453,2346,19.31%,163,265,428
"District Judge, 190th Judicial District",0322,181,129,310,1226,25.29%,103,194,297
"District Judge, 190th Judicial District",0323,278,211,489,1722,28.40%,239,222,461
"District Judge, 190th Judicial District",0324,532,646,1178,2336,50.43%,746,338,1084
"District Judge, 190th Judicial District",0325,289,193,482,2112,22.82%,110,353,463
"District Judge, 190th Judicial District",0326,87,74,161,698,23.07%,74,76,150
"District Judge, 190th Judicial District",0327,380,129,509,1729,29.44%,18,479,497
"District Judge, 190th Judicial District",0328,151,140,291,1434,20.29%,125,156,281
"District Judge, 190th Judicial District",0329,189,184,373,1397,26.70%,137,221,358
"District Judge, 190th Judicial District",0330,334,253,587,1936,30.32%,341,217,558
