Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0277,170,186,356,1492,23.86%,171,173,344
"District Judge, 184th Judicial District",0278,421,320,741,2454,30.20%,408,304,712
"District Judge, 184th Judicial District",0279,250,223,473,1941,24.37%,285,169,454
"District Judge, 184th Judicial District",0280,130,188,318,1524,20.87%,138,163,301
"District Judge, 184th Judicial District",0281,655,742,1397,2633,53.06%,634,621,1255
"District Judge, 184th Judicial District",0282,314,455,769,2042,37.66%,467,257,724
"District Judge, 184th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 184th Judicial District",0284,574,336,910,3172,28.69%,422,448,870
"District Judge, 184th Judicial District",0285,448,378,826,2540,32.52%,78,721,799
"District Judge, 184th Judicial District",0286,1255,821,2076,6170,33.65%,189,1822,2011
"District Judge, 184th Judicial District",0287,370,477,847,1621,52.25%,409,386,795
"District Judge, 184th Judicial District",0288,532,313,845,2210,38.24%,16,815,831
"District Judge, 184th Judicial District",0289,186,212,398,1564,25.45%,202,173,375
"District Judge, 184th Judicial District",0290,245,298,543,1642,33.07%,406,117,523
"District Judge, 184th Judicial District",0291,325,235,560,1225,45.71%,277,248,525
"District Judge, 184th Judicial District",0292,207,147,354,1356,26.11%,45,300,345
"District Judge, 184th Judicial District",0293,356,447,803,1759,45.65%,361,380,741
"District Judge, 184th Judicial District",0294,488,221,709,2097,33.81%,14,678,692
"District Judge, 184th Judicial District",0295,148,103,251,885,28.36%,9,235,244
"District Judge, 184th Judicial District",0296,327,340,667,1713,38.94%,389,236,625
"District Judge, 184th Judicial District",0297,280,249,529,2012,26.29%,237,260,497
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jan Krocker,DEM Mark Thering,Totals
"District Judge, 184th Judicial District",0298,415,358,773,2121,36.45%,460,264,724
"District Judge, 184th Judicial District",0299,178,117,295,1353,21.80%,119,154,273
"District Judge, 184th Judicial District",0300,1389,1016,2405,5406,44.49%,1907,407,2314
"District Judge, 184th Judicial District",0301,210,255,465,2352,19.77%,190,248,438
"District Judge, 184th Judicial District",0302,353,343,696,2720,25.59%,405,263,668
