Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0266,259,257,516,2104,24.52%,260,220,11,5,496
Commissioner of the General Land Office,0267,146,166,312,1327,23.51%,169,120,9,6,304
Commissioner of the General Land Office,0268,435,717,1152,2493,46.21%,732,348,17,9,1106
Commissioner of the General Land Office,0269,702,453,1155,2030,56.90%,975,150,10,6,1141
Commissioner of the General Land Office,0270,819,672,1491,3605,41.36%,855,544,29,28,1456
Commissioner of the General Land Office,0271,656,382,1038,2518,41.22%,22,991,8,6,1027
Commissioner of the General Land Office,0272,264,292,555,2162,25.72%,218,291,22,15,546
Commissioner of the General Land Office,0273,548,689,1237,2470,50.08%,1039,151,24,4,1218
Commissioner of the General Land Office,0274,588,346,934,2153,43.38%,675,209,23,9,916
Commissioner of the General Land Office,0275,207,236,443,1850,23.95%,111,308,7,9,435
Commissioner of the General Land Office,0276,572,231,803,2536,31.66%,6,770,3,9,788
Commissioner of the General Land Office,0277,170,186,356,1492,23.86%,174,166,7,4,351
Commissioner of the General Land Office,0278,421,320,741,2454,30.20%,421,280,14,11,726
Commissioner of the General Land Office,0279,251,223,474,1941,24.42%,289,160,13,3,465
Commissioner of the General Land Office,0280,130,188,318,1524,20.87%,137,156,8,7,308
Commissioner of the General Land Office,0281,655,742,1397,2633,53.06%,771,530,19,24,1344
Commissioner of the General Land Office,0282,314,455,769,2042,37.66%,508,218,26,6,758
Commissioner of the General Land Office,0283,0,0,0,0,0.00%,0,0,0,0,0
Commissioner of the General Land Office,0284,574,335,910,3172,28.69%,420,422,17,20,879
Commissioner of the General Land Office,0285,448,378,826,2540,32.52%,83,719,3,4,809
Commissioner of the General Land Office,0286,1255,821,2076,6170,33.65%,209,1791,18,18,2036
Commissioner of the General Land Office,0287,371,477,848,1621,52.31%,437,364,21,11,833
Commissioner of the General Land Office,0288,532,313,845,2210,38.24%,20,805,5,8,838
Commissioner of the General Land Office,0289,186,212,398,1564,25.45%,205,168,8,4,385
Commissioner of the General Land Office,0290,245,298,543,1642,33.07%,408,115,13,5,541
Commissioner of the General Land Office,0291,325,235,560,1225,45.71%,293,234,13,7,547
Commissioner of the General Land Office,0292,207,147,354,1356,26.11%,43,297,5,4,349
Commissioner of the General Land Office,0293,357,447,804,1759,45.71%,384,365,20,9,778
Commissioner of the General Land Office,0294,488,221,709,2097,33.81%,10,680,6,3,699
Commissioner of the General Land Office,0295,148,103,251,885,28.36%,4,239,1,4,248
Commissioner of the General Land Office,0296,327,340,667,1713,38.94%,392,221,17,13,643
Commissioner of the General Land Office,0297,280,249,529,2012,26.29%,243,249,11,9,512
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP George P. Bush,DEM John Cook,LIB Justin Knight,GRN Valerie Alessi,Totals
Commissioner of the General Land Office,0298,415,358,773,2121,36.45%,456,266,19,8,749
Commissioner of the General Land Office,0299,179,117,296,1353,21.88%,118,154,8,6,286
Commissioner of the General Land Office,0300,1389,1016,2405,5406,44.49%,1940,373,42,11,2366
Commissioner of the General Land Office,0301,210,255,465,2352,19.77%,191,238,9,10,448
Commissioner of the General Land Office,0302,353,343,696,2720,25.59%,414,250,14,6,684
Commissioner of the General Land Office,0303,924,784,1708,3245,52.63%,1435,223,21,13,1692
Commissioner of the General Land Office,0304,606,505,1111,2298,48.35%,668,374,17,18,1077
Commissioner of the General Land Office,0305,524,432,956,4191,22.81%,393,512,23,14,942
Commissioner of the General Land Office,0306,550,342,992,1879,52.79%,744,215,19,3,981
Commissioner of the General Land Office,0307,733,670,1403,3099,45.27%,984,328,39,21,1372
Commissioner of the General Land Office,0308,199,130,329,1296,25.39%,114,193,8,6,321
Commissioner of the General Land Office,0309,708,593,1301,2524,51.55%,1078,174,20,4,1276
