Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0286,2659,1053,3712,5719,64.91%,317,3204,22,46,3589
Railroad Commissioner,0287,547,542,1189,1616,73.58%,628,443,31,38,1140
Railroad Commissioner,0288,1036,380,1416,2259,62.68%,20,1343,8,13,1384
Railroad Commissioner,0289,374,397,771,1510,51.06%,305,404,5,11,725
Railroad Commissioner,0290,577,429,1006,1567,64.20%,750,201,15,13,979
Railroad Commissioner,0291,541,298,839,1203,69.74%,405,363,13,19,800
Railroad Commissioner,0292,478,236,714,1272,56.13%,86,597,5,8,696
Railroad Commissioner,0293,520,557,1177,1733,67.92%,558,513,21,39,1131
Railroad Commissioner,0294,989,298,1287,2107,61.08%,11,1230,3,6,1250
Railroad Commissioner,0295,315,189,504,862,58.47%,7,479,3,3,492
Railroad Commissioner,0296,603,432,1035,1693,61.13%,587,340,21,26,974
Railroad Commissioner,0297,579,445,1024,1978,51.77%,383,550,12,23,968
Railroad Commissioner,0298,849,475,1324,2083,63.56%,723,463,36,48,1270
Railroad Commissioner,0299,328,213,541,1231,43.95%,174,315,6,12,507
Railroad Commissioner,0300,3017,922,3939,5040,78.15%,3008,666,70,34,3778
Railroad Commissioner,0301,450,655,1105,2397,46.10%,396,616,14,27,1053
Railroad Commissioner,0302,713,635,1348,2724,49.49%,693,540,23,29,1285
Railroad Commissioner,0303,1775,755,2530,3172,79.76%,2054,332,21,21,2428
Railroad Commissioner,0304,970,648,1618,2266,71.40%,948,514,36,36,1534
Railroad Commissioner,0305,1321,858,2179,3621,60.18%,790,1269,21,34,2114
Railroad Commissioner,0306,1014,323,1337,1847,72.39%,996,247,22,17,1282
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Christi Craddick,DEM Dale Henry,LIB Vivekananda (Vik) Wall,GRN Chris Kennedy,Totals
Railroad Commissioner,0307,1242,876,2118,2931,72.26%,1447,485,57,46,2035
Railroad Commissioner,0308,444,238,682,1266,53.87%,192,442,10,15,659
Railroad Commissioner,0309,1386,612,1998,2529,79.00%,1625,250,22,21,1918
Railroad Commissioner,0310,519,348,967,1437,67.29%,648,251,15,17,931
Railroad Commissioner,0311,862,699,1561,2997,52.09%,696,673,20,39,1428
Railroad Commissioner,0312,1601,718,2319,3669,63.21%,1284,853,41,45,2223
Railroad Commissioner,0313,22,1,23,60,38.33%,12,8,0,0,20
Railroad Commissioner,0314,2496,1221,3717,5225,71.14%,2221,1272,65,43,3601
Railroad Commissioner,0315,711,479,1190,1618,73.55%,724,354,19,33,1130
Railroad Commissioner,0316,682,411,1093,1522,71.81%,634,371,13,24,1042
Railroad Commissioner,0317,555,336,891,1469,60.65%,260,566,13,23,862
Railroad Commissioner,0318,1709,611,2320,3531,65.70%,99,2110,12,23,2244
Railroad Commissioner,0319,965,290,1255,2081,60.31%,86,1109,5,13,1213
