Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 165th Judicial District",0284,1135,595,1730,3262,53.03%,653,987,1640
"District Judge, 165th Judicial District",0285,988,509,1497,2505,59.76%,97,1342,1439
"District Judge, 165th Judicial District",0286,2657,1053,3710,5719,64.87%,297,3251,3548
"District Judge, 165th Judicial District",0287,647,542,1189,1616,73.58%,641,454,1095
"District Judge, 165th Judicial District",0288,1036,380,1416,2259,62.68%,22,1345,1367
"District Judge, 165th Judicial District",0289,374,397,771,1510,51.06%,301,414,715
"District Judge, 165th Judicial District",0290,577,429,1006,1567,64.20%,757,211,968
"District Judge, 165th Judicial District",0291,541,298,839,1203,69.74%,405,374,779
"District Judge, 165th Judicial District",0292,477,236,713,1272,56.05%,87,599,686
"District Judge, 165th Judicial District",0293,620,557,1177,1733,67.92%,550,537,1087
"District Judge, 165th Judicial District",0294,989,298,1287,2107,61.08%,11,1231,1242
"District Judge, 165th Judicial District",0295,314,189,503,862,58.35%,6,485,491
"District Judge, 165th Judicial District",0296,602,432,1034,1693,61.08%,579,351,930
"District Judge, 165th Judicial District",0297,576,445,1021,1978,51.62%,380,566,946
"District Judge, 165th Judicial District",0298,847,475,1322,2083,63.47%,723,504,1227
"District Judge, 165th Judicial District",0299,328,213,541,1231,43.95%,170,337,507
"District Judge, 165th Judicial District",0300,3013,922,3935,5040,78.08%,2999,696,3695
"District Judge, 165th Judicial District",0301,450,655,1105,2397,46.10%,403,645,1048
"District Judge, 165th Judicial District",0302,713,635,1348,2724,49.49%,713,549,1262
"District Judge, 165th Judicial District",0303,1772,755,2527,3172,79.67%,2029,340,2369
"District Judge, 165th Judicial District",0304,970,648,1618,2266,71.40%,913,554,1467
"District Judge, 165th Judicial District",0305,1319,858,2177,3621,60.12%,788,1292,2080
"District Judge, 165th Judicial District",0306,1013,323,1336,1847,72.33%,995,248,1243
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Elizabeth Ray,DEM Josefina Rendon,Totals
"District Judge, 165th Judicial District",0307,1242,876,2118,2931,72.26%,1480,513,1993
"District Judge, 165th Judicial District",0308,444,238,682,1266,53.87%,177,469,646
"District Judge, 165th Judicial District",0309,1385,612,1997,2529,78.96%,1607,259,1866
"District Judge, 165th Judicial District",0310,517,348,965,1437,67.15%,635,263,898
"District Judge, 165th Judicial District",0311,862,699,1561,2997,52.09%,687,703,1390
"District Judge, 165th Judicial District",0312,1600,718,2318,3669,63.18%,1303,874,2177
"District Judge, 165th Judicial District",0313,22,1,23,60,38.33%,11,9,20
"District Judge, 165th Judicial District",0314,2494,1221,3715,5225,71.10%,2222,1336,3558
"District Judge, 165th Judicial District",0315,711,479,1190,1618,73.55%,721,373,1094
"District Judge, 165th Judicial District",0316,682,411,1093,1522,71.81%,622,374,996
"District Judge, 165th Judicial District",0317,551,336,887,1469,60.38%,266,579,845
