Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Jane Bland,DEM Ron Lovett,Totals
"Justice, 1st Court of Appeals District, Place 2",0239,765,357,1122,1997,56.18%,28,1061,1089
"Justice, 1st Court of Appeals District, Place 2",0240,1157,402,1559,2688,58.00%,17,1491,1508
"Justice, 1st Court of Appeals District, Place 2",0241,494,479,973,2296,42.38%,361,561,922
"Justice, 1st Court of Appeals District, Place 2",0242,363,323,686,1570,43.69%,339,313,652
"Justice, 1st Court of Appeals District, Place 2",0243,254,50,304,452,67.26%,2,293,295
"Justice, 1st Court of Appeals District, Place 2",0244,1100,656,1756,2912,60.30%,887,795,1682
"Justice, 1st Court of Appeals District, Place 2",0245,2340,1115,3455,5240,65.94%,2263,1061,3324
"Justice, 1st Court of Appeals District, Place 2",0246,1584,624,2208,2999,73.62%,1465,646,2111
"Justice, 1st Court of Appeals District, Place 2",0247,421,403,824,1607,51.28%,12,790,802
"Justice, 1st Court of Appeals District, Place 2",0248,408,405,813,2122,38.31%,185,578,763
"Justice, 1st Court of Appeals District, Place 2",0249,1028,481,1509,2676,56.39%,979,465,1444
"Justice, 1st Court of Appeals District, Place 2",0250,306,247,553,951,58.15%,10,532,542
"Justice, 1st Court of Appeals District, Place 2",0251,809,529,1338,2072,64.58%,50,1242,1292
"Justice, 1st Court of Appeals District, Place 2",0252,1111,356,1467,2350,62.43%,21,1404,1425
"Justice, 1st Court of Appeals District, Place 2",0253,923,325,1248,2252,55.42%,15,1214,1229
"Justice, 1st Court of Appeals District, Place 2",0254,220,282,502,1476,34.01%,120,347,467
"Justice, 1st Court of Appeals District, Place 2",0255,995,797,1792,2411,74.33%,861,809,1670
"Justice, 1st Court of Appeals District, Place 2",0256,1059,766,1825,3226,56.57%,699,993,1692
"Justice, 1st Court of Appeals District, Place 2",0257,553,571,1124,2403,46.77%,256,815,1071
"Justice, 1st Court of Appeals District, Place 2",0258,1577,888,2465,3286,75.02%,1823,479,2302
"Justice, 1st Court of Appeals District, Place 2",0259,1210,460,1670,2408,69.35%,27,1612,1639
"Justice, 1st Court of Appeals District, Place 2",0260,420,290,710,1187,59.81%,376,298,674
"Justice, 1st Court of Appeals District, Place 2",0261,176,133,309,749,41.26%,90,201,291
"Justice, 1st Court of Appeals District, Place 2",0262,1470,906,2376,4232,56.14%,1351,865,2216
"Justice, 1st Court of Appeals District, Place 2",0263,1785,719,2504,3319,75.44%,1833,565,2398
"Justice, 1st Court of Appeals District, Place 2",0264,936,639,1575,2939,53.59%,834,630,1464
"Justice, 1st Court of Appeals District, Place 2",0265,1936,674,2610,3617,72.16%,1931,507,2438
"Justice, 1st Court of Appeals District, Place 2",0266,552,542,1094,2119,51.63%,486,556,1042
"Justice, 1st Court of Appeals District, Place 2",0267,294,305,599,1346,44.50%,255,296,551
"Justice, 1st Court of Appeals District, Place 2",0268,931,810,1741,2387,72.94%,1067,526,1593
"Justice, 1st Court of Appeals District, Place 2",0269,1143,444,1587,1981,80.11%,1258,235,1493
"Justice, 1st Court of Appeals District, Place 2",0270,1401,870,2271,3517,64.57%,1246,871,2117
"Justice, 1st Court of Appeals District, Place 2",0271,1303,371,1674,2469,67.80%,13,1612,1625
"Justice, 1st Court of Appeals District, Place 2",0272,610,484,1094,2112,51.80%,408,628,1036
