Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0259,1210,460,1670,2408,69.35%,20,1608,1628
"District Judge, 164th Judicial District",0260,420,290,710,1187,59.81%,358,314,672
"District Judge, 164th Judicial District",0261,176,133,309,749,41.26%,88,204,292
"District Judge, 164th Judicial District",0262,1470,906,2376,4232,56.14%,1291,902,2193
"District Judge, 164th Judicial District",0263,1785,719,2504,3319,75.44%,1803,587,2390
"District Judge, 164th Judicial District",0264,936,639,1575,2939,53.59%,799,651,1450
"District Judge, 164th Judicial District",0265,1936,674,2610,3617,72.16%,1789,607,2396
"District Judge, 164th Judicial District",0266,552,542,1094,2119,51.63%,470,553,1023
"District Judge, 164th Judicial District",0267,294,305,599,1346,44.50%,256,298,554
"District Judge, 164th Judicial District",0268,931,810,1741,2387,72.94%,975,583,1558
"District Judge, 164th Judicial District",0269,1143,444,1587,1981,80.11%,1141,334,1475
"District Judge, 164th Judicial District",0270,1401,870,2271,3517,64.57%,1211,875,2086
"District Judge, 164th Judicial District",0271,1303,371,1674,2469,67.80%,16,1612,1628
"District Judge, 164th Judicial District",0272,610,484,1094,2112,51.80%,380,649,1029
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Bud Wiesedeppe,DEM Alexandra Smoots-Hogan,Totals
"District Judge, 164th Judicial District",0273,1139,634,1773,2426,73.08%,1346,311,1657
"District Judge, 164th Judicial District",0274,1049,364,1413,2063,68.49%,862,467,1329
"District Judge, 164th Judicial District",0275,567,410,977,1730,56.47%,156,777,933
"District Judge, 164th Judicial District",0276,1139,404,1543,2532,60.94%,8,1497,1505
"District Judge, 164th Judicial District",0277,342,305,647,1473,43.92%,259,364,623
"District Judge, 164th Judicial District",0278,756,607,1363,2405,56.67%,673,608,1281
"District Judge, 164th Judicial District",0279,548,383,931,1899,49.03%,539,335,874
"District Judge, 164th Judicial District",0280,303,360,663,1515,43.76%,212,405,617
"District Judge, 164th Judicial District",0281,1087,903,1990,2610,76.25%,858,878,1736
"District Judge, 164th Judicial District",0282,690,591,1281,1988,64.44%,713,497,1210
"District Judge, 164th Judicial District",0283,0,0,0,0,0.00%,0,0,0
"District Judge, 164th Judicial District",0284,1135,595,1730,3262,53.03%,611,1025,1636
"District Judge, 164th Judicial District",0285,988,509,1497,2505,59.76%,98,1341,1439
"District Judge, 164th Judicial District",0286,2657,1053,3710,5719,64.87%,296,3250,3546
"District Judge, 164th Judicial District",0287,647,542,1189,1616,73.58%,581,514,1095
"District Judge, 164th Judicial District",0288,1036,380,1416,2259,62.68%,17,1351,1368
"District Judge, 164th Judicial District",0289,374,397,771,1510,51.06%,288,423,711
"District Judge, 164th Judicial District",0290,577,429,1006,1567,64.20%,742,223,965
"District Judge, 164th Judicial District",0291,541,298,839,1203,69.74%,382,396,778
"District Judge, 164th Judicial District",0292,477,236,713,1272,56.05%,87,597,684
"District Judge, 164th Judicial District",0293,620,557,1177,1733,67.92%,493,588,1081
"District Judge, 164th Judicial District",0294,989,298,1287,2107,61.08%,9,1233,1242
"District Judge, 164th Judicial District",0295,314,189,503,862,58.35%,6,484,490
"District Judge, 164th Judicial District",0296,602,432,1034,1693,61.08%,558,374,932
"District Judge, 164th Judicial District",0297,576,445,1021,1978,51.62%,360,586,946
"District Judge, 164th Judicial District",0298,847,475,1322,2083,63.47%,693,533,1226
"District Judge, 164th Judicial District",0299,328,213,541,1231,43.95%,162,344,506
