Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Debra lbarra Mayfield,DEM Erica M. Graham,Totals
"Judge, County Court at Law No. 1, Unexpired Term",0254,220,282,502,1476,34.01%,116,349,465
"Judge, County Court at Law No. 1, Unexpired Term",0255,995,797,1792,2411,74.33%,831,819,1650
"Judge, County Court at Law No. 1, Unexpired Term",0256,1059,766,1825,3226,56.57%,682,995,1677
"Judge, County Court at Law No. 1, Unexpired Term",0257,553,571,1124,2403,46.77%,258,812,1070
"Judge, County Court at Law No. 1, Unexpired Term",0258,1577,888,2465,3286,75.02%,1767,476,2243
"Judge, County Court at Law No. 1, Unexpired Term",0259,1210,460,1670,2408,69.35%,24,1613,1637
"Judge, County Court at Law No. 1, Unexpired Term",0260,420,290,710,1187,59.81%,377,297,674
"Judge, County Court at Law No. 1, Unexpired Term",0261,176,133,309,749,41.26%,91,200,291
"Judge, County Court at Law No. 1, Unexpired Term",0262,1470,906,2376,4232,56.14%,1333,853,2186
"Judge, County Court at Law No. 1, Unexpired Term",0263,1785,719,2504,3319,75.44%,1822,566,2388
"Judge, County Court at Law No. 1, Unexpired Term",0264,936,639,1575,2939,53.59%,818,625,1443
"Judge, County Court at Law No. 1, Unexpired Term",0265,1936,674,2610,3617,72.16%,1905,490,2395
"Judge, County Court at Law No. 1, Unexpired Term",0266,552,542,1094,2119,51.63%,471,558,1029
"Judge, County Court at Law No. 1, Unexpired Term",0267,294,305,599,1346,44.50%,253,300,553
"Judge, County Court at Law No. 1, Unexpired Term",0268,931,810,1741,2387,72.94%,1031,518,1549
"Judge, County Court at Law No. 1, Unexpired Term",0269,1143,444,1587,1981,80.11%,1238,222,1460
"Judge, County Court at Law No. 1, Unexpired Term",0270,1401,870,2271,3517,64.57%,1261,838,2099
"Judge, County Court at Law No. 1, Unexpired Term",0271,1303,371,1674,2469,67.80%,16,1613,1629
"Judge, County Court at Law No. 1, Unexpired Term",0272,610,484,1094,2112,51.80%,405,624,1029
"Judge, County Court at Law No. 1, Unexpired Term",0273,1139,634,1773,2426,73.08%,1411,243,1654
"Judge, County Court at Law No. 1, Unexpired Term",0274,1049,364,1413,2063,68.49%,931,384,1315
"Judge, County Court at Law No. 1, Unexpired Term",0275,567,410,977,1730,56.47%,169,767,936
"Judge, County Court at Law No. 1, Unexpired Term",0276,1139,404,1543,2532,60.94%,11,1493,1504
