Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0259,1210,460,1670,2408,69.35%,21,1614,1635
"Justice, 1st Court of Appeals District, Place 9",0260,420,290,710,1187,59.81%,376,300,676
"Justice, 1st Court of Appeals District, Place 9",0261,176,133,309,749,41.26%,93,197,290
"Justice, 1st Court of Appeals District, Place 9",0262,1470,906,2376,4232,56.14%,1346,856,2202
"Justice, 1st Court of Appeals District, Place 9",0263,1785,719,2504,3319,75.44%,1848,551,2399
"Justice, 1st Court of Appeals District, Place 9",0264,936,639,1575,2939,53.59%,823,636,1459
"Justice, 1st Court of Appeals District, Place 9",0265,1936,674,2610,3617,72.16%,1894,523,2417
"Justice, 1st Court of Appeals District, Place 9",0266,552,542,1094,2119,51.63%,491,540,1031
"Justice, 1st Court of Appeals District, Place 9",0267,294,305,599,1346,44.50%,259,295,554
"Justice, 1st Court of Appeals District, Place 9",0268,931,810,1741,2387,72.94%,1041,560,1601
"Justice, 1st Court of Appeals District, Place 9",0269,1143,444,1587,1981,80.11%,1245,233,1478
"Justice, 1st Court of Appeals District, Place 9",0270,1401,870,2271,3517,64.57%,1246,852,2098
"Justice, 1st Court of Appeals District, Place 9",0271,1303,371,1674,2469,67.80%,17,1613,1630
"Justice, 1st Court of Appeals District, Place 9",0272,610,484,1094,2112,51.80%,396,642,1038
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Rebeca Huddle,DEM Kathy Cheng,Totals
"Justice, 1st Court of Appeals District, Place 9",0273,1141,634,1775,2426,73.17%,1409,270,1679
