Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0525,1381,610,1991,2947,67.56%,381,1512,1893
"Member, State Board of Education, District 4",0526,167,171,338,731,46.24%,97,226,323
"Member, State Board of Education, District 4",0527,80,24,104,569,18.28%,48,52,100
"Member, State Board of Education, District 4",0528,36,12,48,92,52.17%,3,45,48
"Member, State Board of Education, District 4",0530,259,235,494,1196,41.30%,136,328,464
"Member, State Board of Education, District 4",0535,80,94,174,421,41.33%,66,97,163
"Member, State Board of Education, District 4",0536,1332,1195,2527,4576,55.22%,974,1441,2415
"Member, State Board of Education, District 4",0538,433,237,670,1282,52.26%,21,624,645
"Member, State Board of Education, District 4",0540,666,380,1046,1491,70.15%,427,519,946
"Member, State Board of Education, District 4",0541,1825,779,2604,4183,62.25%,350,2141,2491
"Member, State Board of Education, District 4",0542,997,501,1498,2525,59.33%,99,1354,1453
"Member, State Board of Education, District 4",0543,287,378,665,1528,43.52%,228,400,628
"Member, State Board of Education, District 4",0544,92,53,145,318,45.60%,18,124,142
"Member, State Board of Education, District 4",0549,944,586,1530,2530,60.47%,214,1263,1477
"Member, State Board of Education, District 4",0550,1134,629,1763,2847,61.92%,846,858,1704
"Member, State Board of Education, District 4",0554,562,340,902,1731,52.11%,138,706,844
"Member, State Board of Education, District 4",0555,598,447,1045,2119,49.32%,177,814,991
"Member, State Board of Education, District 4",0556,584,421,1005,2249,44.69%,219,734,953
"Member, State Board of Education, District 4",0560,172,289,461,1176,39.20%,101,326,427
"Member, State Board of Education, District 4",0562,201,146,347,645,53.80%,30,302,332
"Member, State Board of Education, District 4",0564,1150,713,1863,3096,60.17%,491,1247,1738
"Member, State Board of Education, District 4",0571,333,312,645,1758,36.69%,214,390,604
"Member, State Board of Education, District 4",0573,578,368,946,1618,58.47%,13,912,925
"Member, State Board of Education, District 4",0574,98,79,177,391,45.27%,22,143,165
"Member, State Board of Education, District 4",0576,1050,552,1602,2671,59.98%,52,1498,1550
"Member, State Board of Education, District 4",0578,745,553,1298,1689,76.85%,783,419,1202
"Member, State Board of Education, District 4",0579,487,351,838,1806,46.40%,193,596,789
"Member, State Board of Education, District 4",0580,429,146,575,1027,55.99%,15,548,563
"Member, State Board of Education, District 4",0581,510,162,672,1041,64.55%,22,626,648
"Member, State Board of Education, District 4",0582,614,256,870,1613,53.94%,52,790,842
"Member, State Board of Education, District 4",0583,544,127,671,1248,53.77%,12,648,660
"Member, State Board of Education, District 4",0584,392,139,531,971,54.69%,37,485,522
"Member, State Board of Education, District 4",0585,934,304,1238,2403,51.52%,39,1163,1202
"Member, State Board of Education, District 4",0587,933,465,1398,2174,64.31%,500,851,1351
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Dorothy Olmos,"DEM Lawrence Allen, Jr.",Totals
"Member, State Board of Education, District 4",0591,420,449,869,2114,41.11%,250,567,817
"Member, State Board of Education, District 4",0594,1031,535,1566,2361,66.33%,448,1074,1522
"Member, State Board of Education, District 4",0595,497,380,877,1647,53.25%,146,703,849
"Member, State Board of Education, District 4",0599,1895,866,2761,4135,66.77%,935,1726,2661
"Member, State Board of Education, District 4",0605,2227,889,3116,5251,59.34%,781,2220,3001
"Member, State Board of Education, District 4",0606,420,122,542,1053,51.47%,7,518,525
"Member, State Board of Education, District 4",0607,194,118,312,731,42.68%,17,283,300
"Member, State Board of Education, District 4",0608,245,290,535,1256,42.60%,215,285,500
"Member, State Board of Education, District 4",0611,1121,301,1422,2450,58.04%,39,1344,1383
"Member, State Board of Education, District 4",0613,495,309,804,1450,55.45%,121,653,774
"Member, State Board of Education, District 4",0627,795,647,1442,2964,48.65%,419,939,1358
"Member, State Board of Education, District 4",0629,175,127,302,629,48.01%,25,272,297
"Member, State Board of Education, District 4",0630,2019,535,2554,3190,80.06%,227,2240,2467
"Member, State Board of Education, District 4",0632,12,9,21,231,9.09%,3,15,18
"Member, State Board of Education, District 4",0637,739,509,1248,2471,50.51%,323,841,1164
"Member, State Board of Education, District 4",0638,740,684,1424,2078,68.53%,104,1266,1370
"Member, State Board of Education, District 4",0649,1389,854,2243,4426,50.68%,623,1489,2112
"Member, State Board of Education, District 4",0652,1050,653,1703,2633,64.68%,275,1366,1641
"Member, State Board of Education, District 4",0656,1198,421,1619,2622,61.75%,51,1522,1573
"Member, State Board of Education, District 4",0657,490,268,758,1200,63.17%,291,430,721
"Member, State Board of Education, District 4",0660,2450,932,3392,5048,67.19%,324,2964,3288
"Member, State Board of Education, District 4",0663,1302,913,2215,3232,68.53%,1188,874,2062
"Member, State Board of Education, District 4",0664,681,607,1288,2801,45.98%,304,909,1213
