Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0488,580,440,1020,1713,59.54%,320,822,14,5,981
"Member, State Board of Education, District 6",0491,887,489,1158,1782,84.87%,800,428,41,19,1088
"Member, State Board of Education, District 6",0492,1089,504,1573,2351,88.91%,748,873,40,14,1473
"Member, State Board of Education, District 6",0493,858,400,1258,1804,89.73%,738,392,40,13,1183
"Member, State Board of Education, District 6",0495,1120,494,1814,2284,70.87%,1050,435,33,15,1533
"Member, State Board of Education, District 6",0498,498,571,1087,2088,51.15%,370,801,24,14,1009
"Member, State Board of Education, District 6",0498,759,499,1258,2123,59.28%,478,878,30,19,1203
"Member, State Board of Education, District 6",0499,1301,517,1818,2304,78.91%,1224,430,40,18,1712
"Member, State Board of Education, District 6",0500,1507,745,2253,3175,70.98%,1447,849,57,21,2174
"Member, State Board of Education, District 6",0501,853,487,1140,1847,89.22%,370,815,58,18,1081
"Member, State Board of Education, District 6",0503,359,273,832,1383,48.37%,180,381,21,8,588
"Member, State Board of Education, District 6",0504,1129,538,1887,2197,75.88%,1015,508,47,15,1585
"Member, State Board of Education, District 6",0507,582,385,987,2435,39.71%,137,875,18,8,838
"Member, State Board of Education, District 6",0508,948,780,1708,3248,52.52%,509,1022,41,12,1584
"Member, State Board of Education, District 6",0509,1340,854,2204,3538,82.33%,1450,585,83,19,2117
"Member, State Board of Education, District 6",0510,1492,882,2174,3511,81.92%,903,1081,83,27,2074
"Member, State Board of Education, District 6",0512,1558,1127,2885,4582,58.80%,1123,1352,80,28,2581
"Member, State Board of Education, District 6",0513,1805,507,2112,2752,78.74%,1478,471,54,12,2015
"Member, State Board of Education, District 6",0514,1988,880,2828,3941,71.71%,1948,888,90,19,2721
"Member, State Board of Education, District 6",0515,1892,708,2400,3173,75.84%,1835,389,55,18,2295
"Member, State Board of Education, District 6",0518,2179,1088,3245,4934,85.77%,1472,1505,83,33,3093
"Member, State Board of Education, District 6",0517,1208,553,1881,3320,58.05%,897,801,82,22,1782
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
"Member, State Board of Education, District 6",0518,1478,919,2397,3755,83.83%,1388,808,83,24,2281
"Member, State Board of Education, District 6",0519,1234,545,1879,2951,83.87%,1285,485,54,28,1810
"Member, State Board of Education, District 6",0522,1171,858,1829,2882,88.20%,1287,427,55,14,1783
"Member, State Board of Education, District 6",0523,1338,889,2027,3080,88.24%,1234,575,71,28,1908
"Member, State Board of Education, District 6",0524,1237,875,1912,3292,58.08%,518,1280,39,19,1834
"Member, State Board of Education, District 6",0529,1987,441,2428,3818,87.15%,1923,349,80,19,2351
"Member, State Board of Education, District 6",0539,28,209,235,71,330.99%,37,188,7,7,217
"Member, State Board of Education, District 6",0548,4,4,8,30,28.87%,2,8,0,0,8
"Member, State Board of Education, District 6",0547,877,847,1524,2408,83.29%,972,427,52,12,1483
"Member, State Board of Education, District 6",0548,720,478,1198,2129,58.18%,514,805,22,10,1151
"Member, State Board of Education, District 6",0551,3088,1527,4815,8135,75.22%,3157,1142,108,27,4434
"Member, State Board of Education, District 6",0552,1821,844,2485,3241,78.08%,1924,389,54,13,2380
"Member, State Board of Education, District 6",0553,1485,951,2418,4355,55.48%,981,1284,87,15,2327
"Member, State Board of Education, District 6",0557,822,558,1378,2728,50.55%,407,832,24,11,1274
"Member, State Board of Education, District 6",0558,1588,824,2412,4084,59.08%,895,1517,80,35,2307
"Member, State Board of Education, District 6",0559,1787,899,2888,4833,57.98%,588,1899,78,27,2572
"Member, State Board of Education, District 6",0585,315,194,509,1373,37.07%,88,382,5,8,481
"Member, State Board of Education, District 6",0588,1122,478,1800,2950,54.24%,383,1098,45,19,1545
"Member, State Board of Education, District 6",0587,872,394,1088,2198,48.50%,252,885,20,14,971
"Member, State Board of Education, District 6",0589,1294,885,2159,3249,88.45%,1083,884,71,18,2018
"Member, State Board of Education, District 6",0570,525,409,934,1473,83.41%,382,448,40,15,885
"Member, State Board of Education, District 6",0572,1283,574,1857,2998,81.94%,803,910,51,18,1780
"Member, State Board of Education, District 6",0575,27,9,38,79,45.57%,32,3,0,0,35
"Member, State Board of Education, District 6",0577,231,113,344,573,80.03%,175,134,9,4,322
"Member, State Board of Education, District 6",0592,370,288,858,1258,52.31%,141,478,8,5,832
"Member, State Board of Education, District 6",0593,1148,999,2147,4059,52.89%,894,1082,47,25,2048
"Member, State Board of Education, District 6",0597,1087,719,1788,3287,54.87%,582,1118,19,7,1724
"Member, State Board of Education, District 6",0800,1383,889,2252,3820,58.95%,730,1382,42,23,2157
"Member, State Board of Education, District 6",0801,2028,858,2888,3990,72.33%,2032,875,75,15,2797
"Member, State Board of Education, District 6",0802,582,298,858,1237,89.38%,587,235,21,10,833
"Member, State Board of Education, District 6",0809,1384,844,2208,3281,87.71%,1282,739,57,20,2098
"Member, State Board of Education, District 6",0810,403,398,801,1825,43.89%,318,410,21,7,754
"Member, State Board of Education, District 6",0814,1831,812,2443,3932,82.13%,783,1522,48,20,2353
"Member, State Board of Education, District 6",0815,931,404,1335,1928,89.31%,732,502,38,18,1288
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Donna Bahorich,DEM Traci Jensen,LIB Gene Clark,GRN G C Molison,Totals
