Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Nathan Hecht,DEM Michele Petty,LIB Mark Ash,GRN Jim Chisholm,Totals
"Justice, Supreme Court, Place 6",0253,923,325,1248,2252,55.42%,15,1207,2,3,1227
"Justice, Supreme Court, Place 6",0254,220,282,502,1476,34.01%,111,348,4,9,472
"Justice, Supreme Court, Place 6",0255,996,797,1793,2411,74.37%,764,865,44,22,1695
"Justice, Supreme Court, Place 6",0256,1060,766,1826,3226,56.60%,677,965,37,29,1708
"Justice, Supreme Court, Place 6",0257,554,571,1125,2403,46.82%,248,806,10,13,1077
"Justice, Supreme Court, Place 6",0258,1578,888,2466,3286,75.05%,1726,512,51,28,2317
"Justice, Supreme Court, Place 6",0259,1210,460,1670,2408,69.35%,26,1592,8,6,1632
"Justice, Supreme Court, Place 6",0260,420,290,710,1187,59.81%,353,307,14,5,679
"Justice, Supreme Court, Place 6",0261,176,133,309,749,41.26%,85,203,3,5,296
"Justice, Supreme Court, Place 6",0262,1472,906,2378,4232,56.19%,1261,876,67,27,2231
"Justice, Supreme Court, Place 6",0263,1787,719,2506,3319,75.50%,1781,566,60,11,2418
"Justice, Supreme Court, Place 6",0264,938,639,1577,2939,53.66%,787,633,44,19,1483
"Justice, Supreme Court, Place 6",0265,1937,674,2611,3617,72.19%,1853,528,66,15,2462
"Justice, Supreme Court, Place 6",0266,552,542,1094,2119,51.63%,451,545,29,16,1041
"Justice, Supreme Court, Place 6",0267,294,305,599,1346,44.50%,249,291,13,8,561
"Justice, Supreme Court, Place 6",0268,932,810,1742,2387,72.98%,1037,531,38,14,1620
"Justice, Supreme Court, Place 6",0269,1143,444,1587,1981,80.11%,1230,245,21,5,1501
"Justice, Supreme Court, Place 6",0270,1403,870,2273,3517,64.63%,1204,838,61,40,2143
"Justice, Supreme Court, Place 6",0271,1303,371,1674,2469,67.80%,13,1609,8,5,1635
"Justice, Supreme Court, Place 6",0272,614,484,1098,2112,51.99%,374,620,40,17,1051
"Justice, Supreme Court, Place 6",0273,1141,634,1775,2426,73.17%,1386,265,44,7,1702
"Justice, Supreme Court, Place 6",0274,1054,364,1418,2063,68.73%,925,374,45,20,1364
"Justice, Supreme Court, Place 6",0275,570,410,980,1730,56.65%,149,767,14,10,940
"Justice, Supreme Court, Place 6",0276,1139,404,1543,2532,60.94%,8,1482,9,8,1507
"Justice, Supreme Court, Place 6",0277,342,305,647,1473,43.92%,258,341,20,9,628
"Justice, Supreme Court, Place 6",0278,756,607,1363,2405,56.67%,676,586,19,16,1297
"Justice, Supreme Court, Place 6",0279,548,383,931,1899,49.03%,536,322,15,19,892
"Justice, Supreme Court, Place 6",0280,303,360,663,1515,43.76%,214,396,12,7,629
"Justice, Supreme Court, Place 6",0281,1088,903,1991,2610,76.28%,995,752,45,22,1814
"Justice, Supreme Court, Place 6",0282,691,591,1282,1988,64.49%,715,463,40,13,1231
"Justice, Supreme Court, Place 6",0283,0,0,0,0,0.00%,0,0,0,0,0
"Justice, Supreme Court, Place 6",0284,1136,595,1731,3262,53.07%,605,995,33,19,1652
"Justice, Supreme Court, Place 6",0285,989,509,1498,2505,59.80%,96,1335,7,6,1444
"Justice, Supreme Court, Place 6",0286,2659,1053,3712,5719,64.91%,282,3238,24,30,3574
"Justice, Supreme Court, Place 6",0287,547,542,1189,1616,73.58%,578,492,35,21,1126
"Justice, Supreme Court, Place 6",0288,1036,380,1416,2259,62.68%,17,1338,10,9,1374
"Justice, Supreme Court, Place 6",0289,374,397,771,1510,51.06%,286,416,11,9,722
"Justice, Supreme Court, Place 6",0290,577,429,1006,1567,64.20%,728,219,21,13,981
"Justice, Supreme Court, Place 6",0291,541,298,839,1203,69.74%,365,383,22,13,783
"Justice, Supreme Court, Place 6",0292,478,236,714,1272,56.13%,86,596,6,5,693
