Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Richard Risinger,DEM Larry Weiman,Totals
"District Judge, 80th Judicial District",0284,1135,595,1730,3262,53.03%,620,1020,1640
"District Judge, 80th Judicial District",0285,988,509,1497,2505,59.76%,103,1339,1442
"District Judge, 80th Judicial District",0286,2657,1053,3710,5719,64.87%,312,3237,3549
"District Judge, 80th Judicial District",0287,647,542,1189,1616,73.58%,590,509,1099
"District Judge, 80th Judicial District",0288,1036,380,1416,2259,62.68%,19,1342,1361
"District Judge, 80th Judicial District",0289,374,397,771,1510,51.06%,298,416,714
"District Judge, 80th Judicial District",0290,577,429,1006,1567,64.20%,762,208,970
"District Judge, 80th Judicial District",0291,541,298,839,1203,69.74%,379,399,778
"District Judge, 80th Judicial District",0292,477,236,713,1272,56.05%,85,595,680
"District Judge, 80th Judicial District",0293,620,557,1177,1733,67.92%,495,590,1085
"District Judge, 80th Judicial District",0294,989,298,1287,2107,61.08%,8,1233,1241
"District Judge, 80th Judicial District",0295,314,189,503,862,58.35%,6,483,489
"District Judge, 80th Judicial District",0296,602,432,1034,1693,61.08%,571,364,935
"District Judge, 80th Judicial District",0297,576,445,1021,1978,51.62%,366,578,944
"District Judge, 80th Judicial District",0298,847,475,1322,2083,63.47%,696,528,1224
"District Judge, 80th Judicial District",0299,328,213,541,1231,43.95%,170,334,504
"District Judge, 80th Judicial District",0300,3013,922,3935,5040,78.08%,2958,738,3696
"District Judge, 80th Judicial District",0301,450,655,1105,2397,46.10%,418,625,1043
"District Judge, 80th Judicial District",0302,713,635,1348,2724,49.49%,706,558,1264
"District Judge, 80th Judicial District",0303,1772,755,2527,3172,79.67%,1887,473,2360
"District Judge, 80th Judicial District",0304,970,648,1618,2266,71.40%,830,645,1475
"District Judge, 80th Judicial District",0305,1319,858,2177,3621,60.12%,788,1288,2076
"District Judge, 80th Judicial District",0306,1013,323,1336,1847,72.33%,908,337,1245
"District Judge, 80th Judicial District",0307,1242,876,2118,2931,72.26%,1411,575,1986
"District Judge, 80th Judicial District",0308,444,238,682,1266,53.87%,184,462,646
"District Judge, 80th Judicial District",0309,1385,612,1997,2529,78.96%,1496,369,1865
"District Judge, 80th Judicial District",0310,517,348,965,1437,67.15%,611,285,896
"District Judge, 80th Judicial District",0311,862,699,1561,2997,52.09%,651,738,1389
"District Judge, 80th Judicial District",0312,1600,718,2318,3669,63.18%,1214,955,2169
"District Judge, 80th Judicial District",0313,22,1,23,60,38.33%,12,8,20
"District Judge, 80th Judicial District",0314,2494,1221,3715,5225,71.10%,2198,1357,3555
"District Judge, 80th Judicial District",0315,711,479,1190,1618,73.55%,647,445,1092
"District Judge, 80th Judicial District",0316,682,411,1093,1522,71.81%,547,451,998
"District Judge, 80th Judicial District",0317,551,336,887,1469,60.38%,253,591,844
"District Judge, 80th Judicial District",0318,1708,611,2319,3531,65.68%,96,2131,2227
"District Judge, 80th Judicial District",0319,965,290,1255,2081,60.31%,75,1130,1205
"District Judge, 80th Judicial District",0320,464,300,764,1505,50.76%,319,392,711
"District Judge, 80th Judicial District",0321,442,305,748,2029,36.87%,248,459,707
"District Judge, 80th Judicial District",0322,397,237,634,1322,47.96%,156,453,609
"District Judge, 80th Judicial District",0323,482,332,814,1719,47.35%,318,429,747
