Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0350,1112,780,1892,2906,65.11%,697,1017,62,1776
Sheriff,0351,2495,793,3288,4537,72.47%,2462,694,52,3208
Sheriff,0352,1151,583,1734,3193,54.31%,1138,511,32,1681
Sheriff,0353,1544,703,2247,3697,60.78%,310,1857,28,2195
Sheriff,0354,1476,517,1993,3193,62.42%,393,1516,21,1930
Sheriff,0355,700,286,986,1384,71.24%,76,881,6,963
Sheriff,0356,1382,618,2000,2836,70.52%,1047,809,49,1905
Sheriff,0357,1633,709,2342,3371,69.47%,1615,576,64,2255
Sheriff,0358,740,464,1204,2297,52.42%,82,1078,13,1173
Sheriff,0359,706,482,1188,3008,39.49%,89,1051,13,1153
Sheriff,0360,969,515,1484,2190,67.76%,714,637,30,1381
Sheriff,0361,135,691,826,1585,52.11%,136,550,39,725
Sheriff,0362,2131,1200,3331,4952,67.27%,2271,894,52,3217
Sheriff,0363,1346,687,2033,3291,61.77%,823,1124,32,1979
Sheriff,0364,912,602,1514,2539,59.63%,680,756,31,1467
Sheriff,0365,734,245,979,1302,75.19%,67,874,10,951
Sheriff,0366,638,466,1104,2089,52.85%,208,857,12,1077
Sheriff,0367,328,212,540,1019,52.99%,72,443,16,531
Sheriff,0368,418,143,561,929,60.39%,132,410,8,550
Sheriff,0369,107,53,160,490,32.65%,47,101,8,156
Sheriff,0370,3143,1178,4321,5781,74.74%,3019,1125,62,4206
Sheriff,0371,226,69,295,475,62.11%,4,282,2,288
Sheriff,0372,498,231,729,1215,60.00%,72,624,8,704
Sheriff,0373,61,16,77,159,48.43%,1,73,1,75
Sheriff,0374,139,187,326,748,43.58%,70,246,5,321
Office,Precinct,Early Ballots Cast,Election Ballots Cast,Total Ballots Cast,Registered Voters,Percent Turnout,REP Louis Guthrie,DEM Adrian Garcia,GRN Remington Alessi,Totals
Sheriff,0375,577,524,1101,2607,42.23%,388,666,14,1068
Sheriff,0376,529,334,963,1916,50.26%,344,569,9,922
Sheriff,0377,1055,707,1762,2871,61.37%,1224,429,43,1696
Sheriff,0378,559,521,1080,1777,60.78%,617,398,34,1049
Sheriff,0379,800,338,1138,2017,56.42%,68,1012,22,1102
